CustomerID,session_id,session_start,session_end,total_items,total_value,num_products,session_duration_mins,hour_of_day
12346,1,2011-01-18 10:01:00,2011-01-18 10:01:00,74215,1.04,1,0.0,10
12347,1,2010-12-07 14:57:00,2010-12-07 14:57:00,319,89.59,31,0.0,14
12347,2,2011-01-26 14:30:00,2011-01-26 14:30:00,315,73.17,29,0.0,14
12347,3,2011-04-07 10:43:00,2011-04-07 10:43:00,483,62.29,24,0.0,10
12347,4,2011-06-09 13:01:00,2011-06-09 13:01:00,196,53.62,18,0.0,13
12347,5,2011-08-02 08:48:00,2011-08-02 08:48:00,277,68.24000000000001,22,0.0,8
12347,6,2011-10-31 12:25:00,2011-10-31 12:25:00,676,120.76,47,0.0,12
12347,7,2011-12-07 15:52:00,2011-12-07 15:52:00,192,13.54,11,0.0,15
12348,1,2010-12-16 19:09:00,2010-12-16 19:09:00,1254,49.6,13,0.0,19
12348,2,2011-01-25 10:42:00,2011-01-25 10:42:00,601,42.01,6,0.0,10
12348,3,2011-04-05 10:47:00,2011-04-05 10:47:00,269,44.6,5,0.0,10
12348,4,2011-09-25 13:13:00,2011-09-25 13:13:00,217,42.5,3,0.0,13
12349,1,2011-11-21 09:51:00,2011-11-21 09:51:00,631,605.1,73,0.0,9
12350,1,2011-02-02 16:01:00,2011-02-02 16:01:00,197,65.3,17,0.0,16
12352,1,2011-02-16 12:33:00,2011-02-16 12:33:00,98,68.35,15,0.0,12
12352,2,2011-03-01 14:57:00,2011-03-01 14:57:00,26,61.05,5,0.0,14
12352,3,2011-03-01 15:52:00,2011-03-01 15:52:00,3,840.3,1,0.0,15
12352,4,2011-03-17 16:00:00,2011-03-17 16:00:00,63,16.69,7,0.0,16
12352,5,2011-03-22 16:08:00,2011-03-22 16:08:00,64,56.69,8,0.0,16
12352,6,2011-09-20 14:34:00,2011-09-20 14:34:00,103,114.45,18,0.0,14
12352,7,2011-09-28 14:58:00,2011-09-28 14:58:00,52,110.05,14,0.0,14
12352,8,2011-11-03 14:37:00,2011-11-03 14:37:00,127,86.53,15,0.0,14
12353,1,2011-05-19 17:47:00,2011-05-19 17:47:00,20,24.299999999999997,4,0.0,17
12354,1,2011-04-21 13:11:00,2011-04-21 13:11:00,530,261.22,58,0.0,13
12355,1,2011-05-09 13:49:00,2011-05-09 13:49:00,240,54.65,13,0.0,13
12356,1,2011-01-18 09:50:00,2011-01-18 09:50:00,1216,114.18,36,0.0,9
12356,2,2011-04-08 12:33:00,2011-04-08 12:33:00,370,50.99,21,0.0,12
12356,3,2011-11-17 08:40:00,2011-11-17 08:40:00,5,23.7,2,0.0,8
12357,1,2011-11-06 16:07:00,2011-11-06 16:07:00,2708,438.67,131,0.0,16
12358,1,2011-07-12 10:04:00,2011-07-12 10:04:00,100,92.63,12,0.0,10
12358,2,2011-12-08 10:26:00,2011-12-08 10:26:00,148,64.58,7,0.0,10
12359,1,2011-01-12 12:43:00,2011-01-12 12:43:00,144,292.01,16,0.0,12
12359,2,2011-02-07 14:51:00,2011-02-07 14:51:00,465,809.98,80,0.0,14
12359,3,2011-06-03 12:26:00,2011-06-03 12:26:00,356,231.0,47,0.0,12
12359,4,2011-10-13 12:47:00,2011-10-13 12:47:00,657,804.87,100,0.0,12
12360,1,2011-05-23 09:43:00,2011-05-23 09:43:00,434,164.63,45,0.0,9
12360,2,2011-08-19 10:10:00,2011-08-19 10:10:00,240,106.13,30,0.0,10
12360,3,2011-10-18 15:22:00,2011-10-18 15:22:00,491,187.15,54,0.0,15
12361,1,2011-02-25 13:51:00,2011-02-25 13:51:00,91,33.35,10,0.0,13
12362,1,2011-02-17 10:30:00,2011-02-17 10:30:00,229,72.2,27,0.0,10
12362,10,2011-12-06 15:40:00,2011-12-06 15:40:00,221,103.87,30,0.0,15
12362,2,2011-04-28 09:12:00,2011-04-28 09:12:00,275,84.13,29,0.0,9
12362,3,2011-07-07 12:32:00,2011-07-07 12:32:00,144,94.75999999999999,19,0.0,12
12362,4,2011-08-11 15:02:00,2011-08-11 15:02:00,340,60.76,30,0.0,15
12362,5,2011-09-28 12:04:00,2011-09-28 12:04:00,267,181.45,40,0.0,12
12362,6,2011-10-11 14:33:00,2011-10-11 14:33:00,162,43.7,15,0.0,14
12362,7,2011-10-26 13:47:00,2011-10-26 13:47:00,213,220.35999999999999,33,0.0,13
12362,8,2011-10-28 10:10:00,2011-10-28 10:10:00,168,136.44,27,0.0,10
12362,9,2011-11-04 09:07:00,2011-11-04 09:07:00,210,50.620000000000005,16,0.0,9
12363,1,2011-04-11 13:29:00,2011-04-11 13:29:00,282,36.5,16,0.0,13
12363,2,2011-08-22 10:18:00,2011-08-22 10:18:00,126,16.67,7,0.0,10
12364,1,2011-08-19 15:24:00,2011-08-19 15:24:00,555,69.42,34,0.0,15
12364,2,2011-09-22 16:07:00,2011-09-22 16:07:00,181,15.36,2,0.0,16
12364,3,2011-10-30 15:43:00,2011-10-30 15:43:00,268,43.33,22,0.0,15
12364,4,2011-12-02 10:22:00,2011-12-02 10:22:00,502,34.26,27,0.0,10
12365,1,2011-02-21 13:51:00,2011-02-21 14:04:00,174,377.31,22,13.0,13
12367,1,2011-12-05 16:48:00,2011-12-05 16:48:00,173,35.2,11,0.0,16
12370,1,2010-12-14 12:58:00,2010-12-14 12:58:00,917,198.68,82,0.0,12
12370,2,2010-12-17 09:38:00,2010-12-17 09:38:00,51,64.7,8,0.0,9
12370,3,2011-03-10 12:48:00,2011-03-10 12:48:00,1005,121.19,48,0.0,12
12370,4,2011-10-19 14:51:00,2011-10-19 14:51:00,380,83.08,28,0.0,14
12371,1,2011-10-11 10:43:00,2011-10-11 10:43:00,582,204.08,62,0.0,10
12371,2,2011-10-26 10:16:00,2011-10-26 10:16:00,9,40.0,1,0.0,10
12372,1,2011-02-16 12:46:00,2011-02-16 12:46:00,224,63.93,20,0.0,12
12372,2,2011-05-11 10:43:00,2011-05-11 10:43:00,368,50.66,19,0.0,10
12372,3,2011-09-29 12:12:00,2011-09-29 12:12:00,202,41.480000000000004,13,0.0,12
12373,1,2011-02-01 13:10:00,2011-02-01 13:10:00,197,64.15,14,0.0,13
12374,1,2011-11-14 15:37:00,2011-11-14 15:37:00,342,139.25,33,0.0,15
12375,1,2011-09-02 14:23:00,2011-09-02 14:23:00,87,67.12,11,0.0,14
12375,2,2011-11-29 10:36:00,2011-11-29 10:36:00,91,50.4,6,0.0,10
12377,1,2010-12-20 09:37:00,2010-12-20 09:37:00,604,90.57,43,0.0,9
12377,2,2011-01-28 15:45:00,2011-01-28 15:45:00,340,118.78,34,0.0,15
12378,1,2011-08-02 10:34:00,2011-08-02 10:34:00,2529,656.44,219,0.0,10
12379,1,2011-06-22 16:32:00,2011-06-22 16:32:00,211,63.89,20,0.0,16
12379,2,2011-09-19 10:09:00,2011-09-19 10:09:00,196,50.76,20,0.0,10
12380,1,2011-06-07 09:49:00,2011-06-07 09:49:00,293,94.48,36,0.0,9
12380,2,2011-09-22 17:31:00,2011-09-22 17:31:00,290,86.95,28,0.0,17
12380,3,2011-10-14 11:39:00,2011-10-14 11:39:00,229,82.21000000000001,23,0.0,11
12380,4,2011-11-18 11:27:00,2011-11-18 11:27:00,315,87.74,17,0.0,11
12381,1,2011-08-12 09:57:00,2011-08-12 09:57:00,568,245.32,62,0.0,9
12381,2,2011-10-11 15:45:00,2011-10-11 15:45:00,1,6.0,1,0.0,15
12381,3,2011-10-12 11:30:00,2011-10-12 11:30:00,1,4.5,1,0.0,11
12381,4,2011-11-06 13:36:00,2011-11-06 13:36:00,146,90.19,16,0.0,13
12381,5,2011-12-05 12:44:00,2011-12-05 12:44:00,92,61.43,7,0.0,12
12383,1,2010-12-22 14:28:00,2010-12-22 14:28:00,754,49.03,37,0.0,14
12383,2,2011-01-12 14:10:00,2011-01-12 14:10:00,590,73.21,31,0.0,14
12383,3,2011-03-14 08:41:00,2011-03-14 08:41:00,91,83.28999999999999,15,0.0,8
12383,4,2011-04-15 14:10:00,2011-04-15 14:10:00,77,50.48,11,0.0,14
12383,5,2011-06-08 08:02:00,2011-06-08 08:02:00,20,49.6,5,0.0,8
12384,1,2011-08-10 11:23:00,2011-08-10 11:23:00,62,109.13,14,0.0,11
12384,2,2011-11-11 08:39:00,2011-11-11 08:39:00,64,103.61,13,0.0,8
12386,1,2010-12-08 09:53:00,2010-12-08 09:53:00,214,21.81,8,0.0,9
12386,2,2011-01-06 12:37:00,2011-01-06 12:37:00,140,2.1,2,0.0,12
12388,1,2011-01-17 11:12:00,2011-01-17 11:12:00,204,52.15,19,0.0,11
12388,2,2011-02-07 13:59:00,2011-02-07 13:59:00,37,23.8,6,0.0,13
12388,3,2011-03-09 15:47:00,2011-03-09 15:47:00,90,25.3,10,0.0,15
12388,4,2011-07-14 13:28:00,2011-07-14 13:28:00,429,101.55,35,0.0,13
12388,5,2011-09-25 11:30:00,2011-09-25 11:30:00,478,57.89,22,0.0,11
12388,6,2011-11-24 12:30:00,2011-11-24 12:30:00,224,17.080000000000002,8,0.0,12
12390,1,2011-09-21 09:33:00,2011-09-21 09:33:00,353,127.9,32,0.0,9
12391,1,2011-11-18 12:07:00,2011-11-18 12:07:00,300,245.99,92,0.0,12
12393,1,2011-01-11 09:47:00,2011-01-11 09:47:00,238,41.45,19,0.0,9
12393,2,2011-01-14 11:36:00,2011-01-14 11:36:00,60,8.850000000000001,3,0.0,11
12393,3,2011-04-08 09:45:00,2011-04-08 09:45:00,224,40.65,17,0.0,9
12393,4,2011-09-28 15:41:00,2011-09-28 15:41:00,294,54.95,24,0.0,15
12394,1,2011-05-06 14:01:00,2011-05-06 14:01:00,182,63.32,21,0.0,14
12394,2,2011-10-07 08:08:00,2011-10-07 08:08:00,637,27.69,6,0.0,8
12395,1,2010-12-03 16:35:00,2010-12-03 16:35:00,528,37.41,12,0.0,16
12395,10,2011-11-08 16:12:00,2011-11-08 16:15:00,246,106.48,27,3.0,16
12395,11,2011-11-20 15:21:00,2011-11-20 15:21:00,125,59.879999999999995,15,0.0,15
12395,2,2010-12-17 16:00:00,2010-12-17 16:00:00,225,67.68,19,0.0,16
12395,3,2011-02-11 12:16:00,2011-02-11 12:16:00,262,35.269999999999996,14,0.0,12
12395,4,2011-03-23 14:33:00,2011-03-23 14:33:00,321,26.54,10,0.0,14
12395,5,2011-05-05 14:38:00,2011-05-05 14:38:00,72,51.010000000000005,11,0.0,14
12395,6,2011-05-12 10:15:00,2011-05-12 10:15:00,83,53.31,13,0.0,10
12395,7,2011-06-30 16:52:00,2011-06-30 16:52:00,103,34.75,10,0.0,16
12395,8,2011-08-19 15:18:00,2011-08-19 15:18:00,35,77.8,7,0.0,15
12395,9,2011-10-04 13:45:00,2011-10-04 13:45:00,118,69.01,17,0.0,13
12397,1,2011-07-27 14:21:00,2011-07-27 14:21:00,704,247.49,70,0.0,14
12397,2,2011-11-04 09:52:00,2011-11-04 09:52:00,559,189.51,56,0.0,9
12398,1,2011-10-25 10:27:00,2011-10-25 10:27:00,1394,169.38,85,0.0,10
12399,1,2011-03-23 09:42:00,2011-03-23 09:42:00,364,33.1,20,0.0,9
12399,2,2011-05-10 10:22:00,2011-05-10 10:22:00,494,45.05,22,0.0,10
12399,3,2011-06-09 13:09:00,2011-06-09 13:09:00,145,19.39,5,0.0,13
12399,4,2011-08-12 13:15:00,2011-08-12 13:15:00,175,27.22,12,0.0,13
12401,1,2011-02-09 13:50:00,2011-02-09 13:50:00,11,48.4,5,0.0,13
12402,1,2011-01-20 13:49:00,2011-01-20 13:49:00,94,36.2,11,0.0,13
12403,1,2011-10-21 10:51:00,2011-10-21 10:51:00,96,35.400000000000006,5,0.0,10
12405,1,2011-07-14 08:52:00,2011-07-14 08:52:00,857,191.39000000000001,54,0.0,8
12406,1,2011-06-09 10:23:00,2011-06-09 10:23:00,793,149.14,48,0.0,10
12406,2,2011-11-17 19:22:00,2011-11-17 19:22:00,1025,112.0,56,0.0,19
12407,1,2011-03-20 13:21:00,2011-03-20 13:21:00,215,35.71,15,0.0,13
12407,2,2011-04-18 12:25:00,2011-04-18 12:25:00,204,42.980000000000004,12,0.0,12
12407,3,2011-07-06 09:49:00,2011-07-06 09:49:00,522,90.93,33,0.0,9
12407,4,2011-07-28 16:28:00,2011-07-28 16:28:00,296,22.72,4,0.0,16
12407,5,2011-10-21 10:11:00,2011-10-21 10:11:00,179,59.25,13,0.0,10
12408,1,2011-03-24 14:46:00,2011-03-24 14:47:00,356,119.50999999999999,36,1.0,14
12408,2,2011-06-17 10:51:00,2011-06-17 10:51:00,378,80.11,29,0.0,10
12408,3,2011-09-02 10:27:00,2011-09-02 10:27:00,310,52.66,17,0.0,10
12408,4,2011-11-07 12:27:00,2011-11-07 12:27:00,365,65.12,23,0.0,12
12409,1,2011-06-10 12:19:00,2011-06-10 12:19:00,3142,237.51,64,0.0,12
12409,2,2011-09-21 14:15:00,2011-09-21 14:15:00,1,4.95,1,0.0,14
12409,3,2011-09-22 10:38:00,2011-09-22 10:38:00,2408,147.16,44,0.0,10
12410,1,2011-02-04 10:38:00,2011-02-04 10:39:00,211,164.72,26,1.0,10
12412,1,2011-06-23 13:51:00,2011-06-23 13:51:00,358,69.72,28,0.0,13
12412,2,2011-07-25 11:17:00,2011-07-25 11:17:00,241,43.32,17,0.0,11
12412,3,2011-09-26 10:16:00,2011-09-26 10:16:00,230,52.5,16,0.0,10
12413,1,2011-01-06 16:12:00,2011-01-06 16:12:00,180,123.0,24,0.0,16
12413,2,2011-04-17 15:33:00,2011-04-17 15:33:00,25,19.23,4,0.0,15
12413,3,2011-10-04 09:00:00,2011-10-04 09:00:00,81,40.11,10,0.0,9
12414,1,2011-02-02 14:51:00,2011-02-02 14:51:00,145,46.46,7,0.0,14
12414,2,2011-04-26 09:12:00,2011-04-26 09:12:00,113,48.85,5,0.0,9
12414,3,2011-05-06 14:51:00,2011-05-06 14:51:00,42,58.95,6,0.0,14
12415,1,2011-01-06 11:12:00,2011-01-06 11:12:00,4662,86.08,46,0.0,11
12415,10,2011-07-19 10:51:00,2011-07-19 10:51:00,97,130.51,57,0.0,10
12415,11,2011-08-18 08:51:00,2011-08-18 08:51:00,12196,218.72,97,0.0,8
12415,12,2011-09-01 13:50:00,2011-09-01 13:51:00,2836,11.27,9,1.0,13
12415,13,2011-10-05 12:35:00,2011-10-05 12:44:00,7135,263.19,81,9.0,12
12415,14,2011-11-02 12:03:00,2011-11-02 12:03:00,216,2.89,1,0.0,12
12415,15,2011-11-03 11:26:00,2011-11-03 11:26:00,192,7.58,4,0.0,11
